timestamp,open,high,low,close,volume
2026-01-27 16:30:00+00:00,1.9034,1.9138,1.9034,1.9124,1149570.1
2026-01-27 16:45:00+00:00,1.9125,1.9162,1.9047,1.9141,2022139.9
2026-01-27 17:00:00+00:00,1.9141,1.9148,1.8936,1.895,1532254.6
2026-01-27 17:15:00+00:00,1.8949,1.895,1.8829,1.8939,1669677.6
2026-01-27 17:30:00+00:00,1.8938,1.8968,1.8777,1.8792,1569141.5
2026-01-27 17:45:00+00:00,1.8792,1.8817,1.8768,1.8809,744752.8
2026-01-27 18:00:00+00:00,1.8809,1.8905,1.8785,1.884,873416.4
2026-01-27 18:15:00+00:00,1.884,1.8892,1.884,1.8854,550382.9
2026-01-27 18:30:00+00:00,1.8854,1.8898,1.8829,1.8882,584395.1
2026-01-27 18:45:00+00:00,1.8883,1.9127,1.8883,1.9066,930177.2
2026-01-27 19:00:00+00:00,1.9067,1.9081,1.9023,1.9068,725175.2
2026-01-27 19:15:00+00:00,1.9067,1.9085,1.9011,1.9016,351948.5
2026-01-27 19:30:00+00:00,1.9015,1.9109,1.8985,1.9094,533234.3
2026-01-27 19:45:00+00:00,1.9095,1.9104,1.9061,1.9069,534820.7
2026-01-27 20:00:00+00:00,1.9069,1.9168,1.9058,1.9159,770317.9
2026-01-27 20:15:00+00:00,1.916,1.9273,1.9145,1.926,2316068.7
2026-01-27 20:30:00+00:00,1.926,1.9262,1.914,1.9145,1052791.4
2026-01-27 20:45:00+00:00,1.9144,1.9292,1.9143,1.9228,1650860.3
2026-01-27 21:00:00+00:00,1.9228,1.9295,1.9203,1.9227,1428341.1
2026-01-27 21:15:00+00:00,1.9227,1.9265,1.9198,1.9202,795963.8
2026-01-27 21:30:00+00:00,1.9203,1.9214,1.9158,1.9166,732182.7
2026-01-27 21:45:00+00:00,1.9166,1.9194,1.9111,1.9122,582307.7
2026-01-27 22:00:00+00:00,1.9121,1.9193,1.9121,1.916,622817.3
2026-01-27 22:15:00+00:00,1.9159,1.917,1.9115,1.9137,499372.6
2026-01-27 22:30:00+00:00,1.9137,1.9255,1.9131,1.9238,670343.6
2026-01-27 22:45:00+00:00,1.9237,1.9237,1.9184,1.9185,398900.5
2026-01-27 23:00:00+00:00,1.9186,1.9194,1.915,1.9174,1264514.0
2026-01-27 23:15:00+00:00,1.9173,1.9213,1.916,1.9211,439065.5
2026-01-27 23:30:00+00:00,1.9211,1.9218,1.918,1.9192,427230.1
2026-01-27 23:45:00+00:00,1.9192,1.9214,1.9151,1.9158,355468.5
2026-01-28 00:00:00+00:00,1.9157,1.9193,1.9145,1.9175,576420.6
2026-01-28 00:15:00+00:00,1.9175,1.9193,1.9137,1.9143,688759.9
2026-01-28 00:30:00+00:00,1.9143,1.9143,1.9092,1.9097,519965.7
2026-01-28 00:45:00+00:00,1.9097,1.9138,1.909,1.9118,324217.4
2026-01-28 01:00:00+00:00,1.9119,1.9128,1.9035,1.9046,1076353.2
2026-01-28 01:15:00+00:00,1.9045,1.907,1.8986,1.9008,536041.7
2026-01-28 01:30:00+00:00,1.9009,1.9028,1.8975,1.9007,439743.9
2026-01-28 01:45:00+00:00,1.9007,1.9055,1.9,1.9028,490514.7
2026-01-28 02:00:00+00:00,1.9028,1.905,1.8956,1.8964,467677.9
2026-01-28 02:15:00+00:00,1.8963,1.9033,1.8944,1.9016,437382.3
2026-01-28 02:30:00+00:00,1.9017,1.9043,1.8983,1.8993,338400.4
2026-01-28 02:45:00+00:00,1.8992,1.9034,1.8976,1.9023,257726.2
2026-01-28 03:00:00+00:00,1.9023,1.904,1.8982,1.9,435708.6
2026-01-28 03:15:00+00:00,1.9,1.9013,1.8978,1.9004,426428.7
2026-01-28 03:30:00+00:00,1.9003,1.9029,1.8978,1.8999,251852.6
2026-01-28 03:45:00+00:00,1.8998,1.903,1.8993,1.902,571885.7
2026-01-28 04:00:00+00:00,1.902,1.9024,1.8987,1.8995,449328.7
2026-01-28 04:15:00+00:00,1.8995,1.9006,1.8967,1.8985,621510.0
2026-01-28 04:30:00+00:00,1.8984,1.9045,1.8977,1.9025,328346.4
2026-01-28 04:45:00+00:00,1.9025,1.903,1.9006,1.9018,161828.8
2026-01-28 05:00:00+00:00,1.9018,1.9048,1.9002,1.9006,339333.2
2026-01-28 05:15:00+00:00,1.9006,1.9028,1.8997,1.901,480818.0
2026-01-28 05:30:00+00:00,1.901,1.909,1.901,1.9061,666793.4
2026-01-28 05:45:00+00:00,1.9062,1.9126,1.9051,1.9122,474713.2
2026-01-28 06:00:00+00:00,1.9122,1.918,1.9122,1.9174,754847.4
2026-01-28 06:15:00+00:00,1.9173,1.9249,1.9154,1.92,892813.8
2026-01-28 06:30:00+00:00,1.92,1.9218,1.9143,1.916,604023.6
2026-01-28 06:45:00+00:00,1.9159,1.9249,1.9142,1.9211,859817.2
2026-01-28 07:00:00+00:00,1.9212,1.9237,1.9195,1.921,686114.6
2026-01-28 07:15:00+00:00,1.9211,1.922,1.9176,1.9182,382924.5
2026-01-28 07:30:00+00:00,1.9181,1.9181,1.9142,1.9169,381438.8
2026-01-28 07:45:00+00:00,1.9169,1.9184,1.9145,1.916,418207.6
2026-01-28 08:00:00+00:00,1.9159,1.9186,1.9152,1.9183,584504.7
2026-01-28 08:15:00+00:00,1.9183,1.9188,1.9117,1.9133,546121.4
2026-01-28 08:30:00+00:00,1.9132,1.915,1.911,1.9119,478857.2
2026-01-28 08:45:00+00:00,1.9119,1.9125,1.9085,1.9094,513848.6
2026-01-28 09:00:00+00:00,1.9094,1.9114,1.9089,1.9095,1192698.6
2026-01-28 09:15:00+00:00,1.9094,1.911,1.9061,1.9102,547137.9
2026-01-28 09:30:00+00:00,1.9102,1.926,1.9102,1.9226,1193255.7
2026-01-28 09:45:00+00:00,1.9225,1.9327,1.9213,1.9322,1016991.8
2026-01-28 10:00:00+00:00,1.9321,1.9343,1.9283,1.9329,862144.3
2026-01-28 10:15:00+00:00,1.933,1.9366,1.9263,1.9264,730086.5
2026-01-28 10:30:00+00:00,1.9264,1.9319,1.9264,1.9303,456621.7
2026-01-28 10:45:00+00:00,1.9302,1.9309,1.9273,1.9273,357595.1
2026-01-28 11:00:00+00:00,1.9273,1.9289,1.9242,1.9249,501100.1
2026-01-28 11:15:00+00:00,1.9248,1.9288,1.924,1.9287,623939.2
2026-01-28 11:30:00+00:00,1.9286,1.929,1.923,1.9283,476273.9
2026-01-28 11:45:00+00:00,1.9283,1.9427,1.9269,1.9415,1752746.4
2026-01-28 12:00:00+00:00,1.9414,1.9422,1.9304,1.931,1965210.5
2026-01-28 12:15:00+00:00,1.931,1.9348,1.9296,1.9325,941480.7
2026-01-28 12:30:00+00:00,1.9325,1.9363,1.9298,1.9314,833930.7
2026-01-28 12:45:00+00:00,1.9313,1.9319,1.924,1.9262,1062500.1
2026-01-28 13:00:00+00:00,1.9263,1.9336,1.9254,1.9312,933756.2
2026-01-28 13:15:00+00:00,1.9311,1.9356,1.9277,1.9314,772138.6
2026-01-28 13:30:00+00:00,1.9314,1.9378,1.9302,1.9363,692142.9
2026-01-28 13:45:00+00:00,1.9362,1.9371,1.9305,1.9334,573863.6
2026-01-28 14:00:00+00:00,1.9334,1.9334,1.9239,1.9241,600880.6
2026-01-28 14:15:00+00:00,1.924,1.9244,1.9174,1.9211,934574.4
2026-01-28 14:30:00+00:00,1.9211,1.9309,1.9187,1.922,1504979.8
2026-01-28 14:45:00+00:00,1.922,1.9254,1.9155,1.9196,932335.4
2026-01-28 15:00:00+00:00,1.9195,1.9241,1.9043,1.9051,1293331.1
2026-01-28 15:15:00+00:00,1.905,1.912,1.9016,1.9086,2194371.9
2026-01-28 15:30:00+00:00,1.9086,1.9124,1.9056,1.9112,726480.0
2026-01-28 15:45:00+00:00,1.9112,1.914,1.9051,1.9077,795582.3
2026-01-28 16:00:00+00:00,1.9077,1.909,1.9035,1.9051,753597.7
2026-01-28 16:15:00+00:00,1.905,1.915,1.9045,1.914,518235.4
2026-01-28 16:30:00+00:00,1.9141,1.9157,1.9009,1.904,657460.2
2026-01-28 16:45:00+00:00,1.904,1.9119,1.9037,1.9078,476969.0
2026-01-28 17:00:00+00:00,1.9079,1.9126,1.9069,1.9106,424721.1
2026-01-28 17:15:00+00:00,1.9107,1.9118,1.9066,1.9079,433703.4
2026-01-28 17:30:00+00:00,1.9079,1.9191,1.9005,1.9167,1293108.5
2026-01-28 17:45:00+00:00,1.9166,1.928,1.916,1.9213,1527117.6
2026-01-28 18:00:00+00:00,1.9214,1.9219,1.9124,1.92,1044353.0
2026-01-28 18:15:00+00:00,1.92,1.9205,1.9118,1.9138,864647.9
2026-01-28 18:30:00+00:00,1.9137,1.917,1.9128,1.9158,246055.4
2026-01-28 18:45:00+00:00,1.9158,1.9178,1.9123,1.916,387234.4
2026-01-28 19:00:00+00:00,1.9161,1.922,1.9103,1.9154,1278301.3
2026-01-28 19:15:00+00:00,1.9155,1.9209,1.9136,1.9156,587081.7
2026-01-28 19:30:00+00:00,1.9157,1.9196,1.9066,1.9084,845202.8
